,longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,date_of_construction,property_condition,land_surface,livable_surface,energy_consumption,number_of_bedrooms,number_of_bathrooms,elevator,garden,terrace,furnished,availability,province,street,street_number,garage,balcony
vbe35895,4.4077782,50.8159937,Rent,770,Appartment,FlatStudio,40213,1160,2015.0,New,,33.0,,,,False,,,True,From 03/06/2026,Brussels,Rue Maurice Charlent,53.0,,
vbe35897,4.4607422,50.8408667,Rent,1500,Appartment,Flat,27612,1150,2006.0,Excellent,,90.0,,2.0,1.0,True,,9.0,False,,Brussels,Rue de l'Eglise,43.0,,
vbe35928,4.3971335,50.8475986,Rent,1700,Appartment,Flat,46371,1030,2024.0,New,,86.0,,2.0,1.0,True,,17.0,False,Immediately,Brussels,Avenue de Roodebeek,21.0,,
vbe35927,4.3970567,50.8472356,Rent,1000,Appartment,FlatStudio,46371,1030,2024.0,New,,44.0,,1.0,,False,,8.0,False,Immediately,Brussels,Avenue de Roodebeek,17.0,,
vbe35810,4.3766927,50.8235717,Rent,2000,Appartment,Loft,39905,1050,2003.0,Excellent,,170.0,38568.0,3.0,1.0,False,,10.0,False,,Brussels,,,,
vbe35867,4.38713892,50.87515645,Rent,1600,Appartment,Triplex,27443,1030,,Fully renovated,,139.0,,3.0,1.0,False,,,False,From 01/07/2026,Brussels,Rue Fernand Séverin,7.0,,
rbw24642,4.2635983,50.8178811,Rent,1300,Appartment,Flat,46327,1070,2020.0,Excellent,,83.0,3104.0,2.0,1.0,True,,,False,Immediately,Brussels,Allée des Iris,8.0,,
vbe35871,4.3515499,50.8427501,Rent,2100,Appartment,Penthouse,47643,1000,2017.0,Excellent,,100.0,,2.0,2.0,True,,,True,Immediately,Brussels,,,,
vbe35857,4.3333333,50.8,Rent,12000,Appartment,Penthouse,27209,1180,2004.0,Excellent,,568.0,,5.0,6.0,True,,250.0,False,,Brussels,,,,
vbe35904,4.388949,50.832177,Rent,990,Appartment,Flat,39602,1040,,,,67.0,,,,,,,,,Brussels,,,,
vbe35929,4.3971335,50.8475986,Rent,1450,Appartment,Flat,46371,1030,2024.0,New,,70.0,,1.0,1.0,True,,10.0,False,Immediately,Brussels,Avenue de Roodebeek,21.0,,
vbe35936,4.437183,50.8428476,Rent,1725,Appartment,Flat,27612,1200,2023.0,Excellent,,90.0,,2.0,2.0,True,,7.0,False,,Brussels,Boulevard de la Woluwe,64.0,,
vbe35866,4.38713892,50.87515645,Rent,1600,Appartment,Flat,27443,1030,,Fully renovated,,139.0,,3.0,1.0,False,,,False,From 01/07/2026,Brussels,Rue Fernand Séverin,7.0,,
vbe35951,4.3515499,50.8427501,Rent,1575,Appartment,Flat,37194,1000,1940.0,Excellent,,70.0,,2.0,1.0,False,,,True,,Brussels,,,,
vbe35908,4.3766927,50.8235717,Rent,1100,Appartment,Flat,39905,1050,1910.0,Excellent,,55.0,55898.0,1.0,1.0,False,,,False,Immediately,Brussels,,,,
vbe35767,4.3899532,50.8589713,Rent,2350,Appartment,Flat,43157,1030,1929.0,Excellent,,290.0,100715.0,2.0,2.0,False,,30.0,False,Immediately,Brussels,Square Prevost-Delaunay,111.0,1.0,
vbe35695,4.3885823,50.8194896,Rent,945,Appartment,FlatStudio,33355,1050,1900.0,Excellent,,20.0,,,1.0,False,,,True,,Brussels,Rue de l'Automne,22.0,,
vbe35742,4.3402184,50.8301436,Rent,800,Appartment,Flat,39265,1060,,Normal,,45.0,23.0,1.0,1.0,False,,,True,,Brussels,,,,
vbe35762,4.4406758,50.8518484,Rent,1650,Appartment,Flat,43157,1200,2025.0,New,,106.0,,2.0,2.0,True,,7.0,False,Immediately,Brussels,Rue Neerveld,103.0,,
vbe35741,4.374143,50.8365327,Rent,2500,House,Villa,43099,1050,,Normal,,140.0,,3.0,2.0,False,60.0,15.0,False,,Brussels,Rue Wiertz,27.0,1.0,
vbe35668,4.3308539,50.892132,Rent,1100,Appartment,Flat,28427,1020,,,,80.0,,2.0,1.0,,,6.0,,,Brussels,"Av Emile van Ermengem,",10.0,,
vbe35708,4.3550895,50.8442607,Rent,1950,Appartment,Penthouse,37194,1000,1960.0,Excellent,,95.0,,2.0,1.0,True,,29.0,False,,Brussels,Saint Jean,4.0,,
vbe35677,4.3685926,50.8430672,Rent,1800,Appartment,Flat,43157,1000,,Normal,,96.0,7984.0,2.0,2.0,True,,9.0,False,,Brussels,Rue du Commerce,74.0,,
vbe35766,4.4115802,50.8299608,Rent,1550,Appartment,Flat,43157,1150,,Excellent,,104.0,19477.0,2.0,1.0,True,,8.0,False,,Brussels,Avenue des Volontaires,325.0,1.0,
vbe35709,4.3550895,50.8442607,Rent,1600,Appartment,Flat,37194,1000,1960.0,Excellent,,94.0,,2.0,1.0,True,,,False,,Brussels,Saint Jean,4.0,,
vbe35679,4.388949,50.832177,Rent,1000,Appartment,Flat,28839,1040,,,,75.0,,1.0,1.0,,,,,,Brussels,,,,
vbe35728,4.423892,50.842365,Rent,1815,Appartment,Flat,29033,1200,1942.0,Fully renovated,,116.0,,3.0,1.0,True,,3.0,False,Immediately,Brussels,,,,
vbe35724,4.3766927,50.8235717,Rent,2500,Appartment,Flat,40044,1050,,,,190.0,,3.0,2.0,False,90.0,15.0,True,From 01/08/2026,Brussels,,,,
vbe35706,4.391472,50.8191,Rent,1490,Appartment,Penthouse,38513,1050,2014.0,,,125.0,,2.0,,True,,23.0,False,From 01/10/2026,Brussels,Avenue de la Couronne,323.0,,
