longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,terrace,furnished,province,street,house_number,date_of_construction,availability,energy_consumption,balcony,land_surface,garden,number_of_garage,swimming_pool
3.3314663,50.699374,Sale,299000,House,House,46633,7740,Normal,270,3,2,,20,False,Hainaut,,,1980,From 18/02/2026,,,,1,,
4.2003823,50.509373,Sale,155000,House,House,39714,7100,To be renovated,150,2,1,False,,False,Hainaut,Rue de Bois d'Haine,107,1870,On contract,48981,,280,,,
3.219272,50.7459126,Sale,215000,House,House,33262,7700,Normal,143,3,1,False,,False,Hainaut,,,1970,On contract,57470,False,167,70,1,
4.32792,50.02576,Sale,335400,House,House,38144,6464,New,147,4,1,,,,Hainaut,,,,,,,1105,,,
4.32792,50.02576,Sale,359200,House,House,38144,6464,New,189,3,1,,,,Hainaut,,,,,,,1105,,1,
4.4869963,50.4151255,Sale,50000,House,House,0,6060,,122,2,1,,,,Hainaut,Rue des Auduins,65,,On contract,,,996,,,
3.219272,50.7459126,Sale,189000,House,House,46633,7700,Excellent,138,4,1,,40,False,Hainaut,,,1936,From 05/03/2026,,,,396,,
3.3048918,50.7281602,Sale,295000,Appartment,Penthouse,33262,7711,Excellent,168,3,2,False,,False,Hainaut,,,2014,On contract,30073,True,,,,
4.5166667,50.4,Sale,338440,House,House,38144,6200,New,132,3,1,,,,Hainaut,,,,,,,444,,,
4.46589342,50.4061356,Sale,269000,Appartment,Flat,28942,6061,New,110,2,1,False,,False,Hainaut,Rue du Poirier,116,,,,,,,1,
4.1514385,50.4872125,Sale,220000,House,Villa,38082,7110,To renovate,180,4,2,False,20,False,Hainaut,Avenue du Calvaire,9,,On contract,130473,,310,185,1,
3.577378,50.5131371,Sale,395000,House,House,37448,7600,,250,4,2,False,,False,Hainaut,Chemin de la Rabouillette,40,1995,On contract,,,1635,,1,
4.22764,50.48706,Sale,99999,House,House,39432,7170,To be renovated,108,2,1,False,,False,Hainaut,,,1900,Immediately,35885,,,,,
3.72272015,50.47558875,Sale,225000,House,House,37448,7322,,,2,1,False,,False,Hainaut,Rue de la Garde,10,,On contract,,,740,,1,
3.6696182,50.4976211,Sale,339000,House,House,47433,7321,Excellent,158,4,1,False,,False,Hainaut,Rue Emile Carlier,85,2021,On contract,,,841,841,,True
4.4436699,50.3922481,Sale,367000,House,House,38144,6001,New,147,3,1,,,,Hainaut,,,,,,,785,,1,
3.7305139,50.763302,Sale,270000,House,House,47433,7880,Normal,197,3,1,False,626,False,Hainaut,Rue du Bois,5,1962,,,,626,,,
4.5166667,50.4,Sale,365480,House,House,38144,6200,New,168,3,2,,,,Hainaut,,,,,,,444,,1,
4.5277925,50.3373282,Sale,420000,House,House,43302,6280,Excellent,158,4,1,False,32,,Hainaut,,,2024,,12724,,765,655,1,
3.8400266,50.4088918,Sale,195000,House,House,40137,7340,Normal,237,4,1,False,28,False,Hainaut,Rue Tierne Carion,52,,,62149,,254,120,1,
3.8497022,50.3985274,Sale,195000,House,House,40137,7340,Normal,180,3,1,False,,False,Hainaut,Rue Neuve,276,,On contract,,,299,244,1,
3.8526649,50.4497579,Sale,60000,House,House,40137,7390,Normal,68,2,1,,,,Hainaut,Rue du Culot,26,,,25829,,36,,,
3.219272,50.7459126,Sale,375000,House,House,38349,7700,,215,3,1,False,,False,Hainaut,,,,,,,800,,1,
3.8377399,50.4832756,Sale,240000,House,House,33493,7331,Normal,200,4,1,,30,False,Hainaut,,,,,51287,,339,,1,
3.80776396,50.46879351,Sale,495000,House,House,39376,7333,,328,3,,False,,False,Hainaut,Rue Zéphirin Caron,19,,,,,2237,1898,,
4.15428,50.48815,Sale,239000,House,House,39432,7110,Normal,171,3,1,False,,False,Hainaut,,,1950,,69571,,171,,,
4.449213,50.4157265,Sale,89999,House,House,39432,6000,To renovate,91,2,1,True,6,False,Hainaut,,,1969,On contract,28900,,91,,,
